Gene,"Maximum likelihood (kon, koff, ksyn)","Burst frequency from Profile Likelihood (estimate, and lower and upper confidence interval)","Burst size from Profile Likelihood (point estimate, and lower and upper confidence interval)",Mean expression
Drg1,[ 2.25931455 10.87769772 35.51291174],[2.25931455 1.58148551 3.33891447],[3.26474523 1.84496239 5.87333419],6.11
Drg2,[ 1.15247221  6.20197626 21.59457059],[1.15247221 0.84047933 1.6663366 ],[3.4818854  2.00568939 5.62635646],3.38
Drosha,[ 0.92837038  2.8378633  13.10875006],[0.92837038 0.66827913 1.32365497],[4.61923238 2.65545378 7.58787439],3.23
Dsc2,[ 0.02023819  1.71071428 17.87014226],[0.02023819 0.01017108 0.03862577],[10.44601218  4.36604423 26.52898166],0.21
Dscr3,[0.99990384 4.98142768 6.04750952],[0.99990384 0.49093879 1.92880236],[1.21401131 0.51708457 3.47661327],1.01
Dsg2,[ 0.10790722  1.19404664 10.73576265],[0.10790722 0.0642841  0.17023572],[ 8.9910748   5.01934755 16.83908527],0.89
Dst,[ 1.26489746  5.52519726 19.0286845 ],[1.26489746 0.91193901 1.89168476],[3.44398283 1.97259648 5.69154919],3.54
Dstn,[ 1.75000353  2.90337645 24.87815696],[1.75000353 1.33565874 2.37167911],[ 8.56869833  5.1683601  13.00974941],9.36
Dstyk,[0.28444105 1.82696548 4.73302095],[0.28444105 0.15089206 0.5202056 ],[2.59064608 1.22117659 5.64628428],0.64
Dtd1,[  0.66632319 247.21147169 636.99828942],[0.66632319 0.53831013 0.86913802],[2.49943231 1.89505088 3.3551032 ],1.71
Dtl,[0.57353006 1.28417063 4.56607812],[0.57353006 0.32406786 0.98561456],[3.55566309 1.62504058 7.85743935],1.41
Dtwd1,[0.16605921 0.24073114 1.        ],[1.11022302e-16            nan            nan],[4.15401173        nan        nan],0.41
Dtymk,[ 1.46360821  1.64868616 35.1015413 ],[1.46360821 1.15942436 1.85220696],[21.29061434 14.8283241  30.04878368],16.51
Dus1l,[0.74613174 0.84138456 4.66918813],[0.74613174 0.37656438 1.44242631],[ 5.5494103   1.98052746 15.25451439],2.19
Dus3l,[0.82930087 2.04257376 8.32273659],[0.82930087 0.58826737 1.23312144],[4.07463209 2.22188451 6.66529245],2.4
