Gene,"Maximum likelihood (kon, koff, ksyn)","Burst frequency from Profile Likelihood (estimate, and lower and upper confidence interval)","Burst size from Profile Likelihood (point estimate, and lower and upper confidence interval)",Mean expression
Pgk1,[ 0.37127268  0.95092475 18.60392096],[0.37127268 0.29260532 0.46664755],[19.5640306  14.48063463 26.73671847],5.22
Pgrmc1,[   2.05530248  367.07291552 1408.99657332],[2.15806761 1.85490148 2.57181135],[3.60815719 3.01562848 4.30492769],7.85
Phf6,[  0.52046017 181.62987486 448.64222745],[0.52046017 0.39351053 0.70431011],[2.47009049 1.74263584 3.54683209],1.28
Phf8,[  0.33791252 103.75029711 158.83648665],[0.33791252 0.2416075  0.48510653],[1.5309497  1.01095462 2.32143582],0.52
Phka1,[0.17196478 2.43483146 7.49493966],[0.17196478 0.09163997 0.28478958],[3.07821702 1.64579919 6.47420991],0.49
Phka2,[ 0.15925782  8.13756899 13.42232566],[0.15925782 0.07447413 0.27749008],[1.64942696 0.88218596 3.98172193],0.26
Pim2,[ 0.05598334  5.64888493 10.93009095],[0.05598334 0.01816136 0.11616197],[1.93491124 0.82196703 6.46901817],0.11
Pir,[  0.24179611 176.52305894 232.88112669],[0.24179611 0.18357775 0.37350799],[1.31926745 0.80065595 2.13268131],0.32
Pja1,[  0.78507417  17.67068343 185.25052968],[0.74582047 0.61183855 0.90716702],[10.48349547  8.31306134 12.83032802],7.88
Plp1,[2.93630022e-02 3.44192653e+01 5.21791197e+01],[0.029363   0.01290546 0.08128171],[1.51598586 0.47595982 5.74126783],0.04
Plxna3,[  0.22223     88.4152719  166.90888243],[0.22223    0.16739754 0.3227658 ],[1.8877834  1.21790634 3.00254166],0.42
Pnck,[0.01677873 0.32661681 3.80599293],[0.00083894        nan        nan],[11.65277715         nan         nan],0.19
Pola1,[0.07832659 0.46351663 5.19713595],[0.07832659 0.04663746 0.12158421],[11.21240446  6.65534352 20.08747164],0.75
