Gene,"Maximum likelihood (kon, koff, ksyn)","Burst frequency from Profile Likelihood (estimate, and lower and upper confidence interval)","Burst size from Profile Likelihood (point estimate, and lower and upper confidence interval)",Mean expression
Ndor1,[0.51927318 1.49666341 3.88520385],[0.51927318 0.25094711 1.00415929],[2.59591023 1.01844013 6.8976722 ],1.0
Ndrg1,[ 0.13894111 14.31160214 63.99518223],[0.13894111 0.11264875 0.17697804],[4.47155962 2.86474624 7.04837067],0.62
Ndrg3,[0.09575898 0.28746743 1.97895375],[1.38777878e-17            nan            nan],[6.88409725        nan        nan],0.49
Ndufa10,[  4.40455476 105.24264217 368.9204589 ],[4.6247825  3.16348468 5.49726955],[3.50542757 2.85594778 4.26331333],14.82
Ndufa12,[ 3.95586997  8.53659465 45.2046002 ],[3.95586997 2.64131032 6.19470848],[ 5.29539027  2.42741859 11.02911108],14.31
Ndufa13,[  3.03323393  20.59155899 133.17204456],[2.72991054 2.10962974 3.77865586],[ 7.63142862  4.52476737 11.96702278],17.1
Ndufa3,[  3.43103535  68.31274854 199.76452531],[3.60258712 2.39066957 4.3809913 ],[2.92426421 2.17474997 3.60852126],9.55
Ndufa4,[   3.33633009  314.40737531 3151.94719291],[3.50314659 2.99682222 4.11281404],[ 9.42353963  8.02956016 11.21108721],33.1
Ndufa4l2,[2.70640751e-01 1.23400551e+02 3.77722700e+02],[0.27064075 0.20570561 0.36298469],[3.06094825 2.13582505 4.48972289],0.83
Ndufa5,[ 1.98990686  4.98296718 42.24088376],[1.98990686 1.54194989 2.66956033],[ 8.47705438  5.11194273 12.60940013],12.05
Ndufa8,[ 1.0862394   2.81656001 19.55386194],[1.0862394  0.83391906 1.45038145],[ 6.94246238  4.44503172 10.19693979],5.44
Ndufaf1,[0.30387312 0.65233462 6.43365761],[0.30387312 0.19948546 0.4384846 ],[ 9.86251134  6.04860119 17.04631412],2.04
Ndufaf2,[1.0248976  2.79274113 9.89996202],[1.0248976  0.70799617 1.59904038],[3.54489069 1.77136999 6.13602302],2.66
Ndufaf4,[ 0.96496756  1.64103965 11.45769127],[0.96496756 0.70820785 1.33607565],[ 6.98197103  4.23804259 11.12958659],4.24
